# t [s], T [K], YF
3.700000000000005910e-05,1.100012096994656304e+03,5.999948459265884437e-02
3.710000000000006153e-05,1.100012129693038787e+03,5.999948319950935971e-02
3.720000000000006396e-05,1.100012162391441962e+03,5.999948180635903544e-02
3.730000000000006639e-05,1.100012195089865827e+03,5.999948041320786463e-02
3.740000000000006882e-05,1.100012227788310383e+03,5.999947902005584727e-02
3.750000000000007125e-05,1.100012260486775631e+03,5.999947762690299030e-02
3.760000000000007368e-05,1.100012293185261569e+03,5.999947623374928679e-02
3.770000000000007612e-05,1.100012325883768199e+03,5.999947484059473674e-02
3.780000000000007855e-05,1.100012358582295747e+03,5.999947344743934013e-02
3.790000000000008098e-05,1.100012391280843985e+03,5.999947205428310393e-02
3.800000000000008341e-05,1.100012423979412915e+03,5.999947066112602118e-02
3.810000000000008584e-05,1.100012456678002536e+03,5.999946926796809188e-02
3.820000000000008827e-05,1.100012489376612848e+03,5.999946787480931604e-02
3.830000000000009070e-05,1.100012522075243851e+03,5.999946648164970059e-02
3.840000000000009313e-05,1.100012554773895772e+03,5.999946508848923860e-02
3.850000000000009556e-05,1.100012587472568384e+03,5.999946369532793006e-02
3.860000000000009799e-05,1.100012620171261688e+03,5.999946230216577497e-02
